Time outerCorrector residual
0.00085 5 4.91596e-05
0.00085 6 2.50383e-05
0.00085 7 1.28488e-05
0.00085 8 6.63372e-06
0.00085 9 3.44231e-06
0.00085 10 1.79407e-06
0.00085 11 9.38806e-07
0.000875 1 0.000817936
0.000875 2 0.000385913
0.000875 3 0.000188518
0.000875 4 9.39966e-05
0.000875 5 4.74928e-05
0.000875 6 2.42244e-05
0.000875 7 1.24464e-05
0.000875 8 6.43267e-06
0.000875 9 3.34099e-06
0.000875 10 1.74262e-06
0.000875 11 9.12508e-07
0.0009 1 0.000784592
0.0009 2 0.00037115
0.0009 3 0.000181712
0.0009 4 9.07785e-05
0.0009 5 4.59431e-05
0.0009 6 2.34672e-05
0.0009 7 1.20719e-05
0.0009 8 6.24556e-06
0.0009 9 3.24669e-06
0.0009 10 1.69479e-06
0.0009 11 8.8817e-07
0.000925 1 0.000754118
0.000925 2 0.000357644
0.000925 3 0.00017548
0.000925 4 8.78297e-05
0.000925 5 4.45224e-05
0.000925 6 2.27728e-05
0.000925 7 1.17285e-05
0.000925 8 6.07404e-06
0.000925 9 3.16029e-06
0.000925 10 1.65097e-06
0.000925 11 8.65799e-07
0.00095 1 0.000726356
0.00095 2 0.000345349
0.00095 3 0.000169806
0.00095 4 8.51437e-05
0.00095 5 4.32277e-05
0.00095 6 2.214e-05
0.00095 7 1.14156e-05
0.00095 8 5.91775e-06
0.00095 9 3.08159e-06
0.00095 10 1.61105e-06
0.00095 11 8.45424e-07
0.000975 1 0.000701016
0.000975 2 0.000334143
0.000975 3 0.000164635
0.000975 4 8.26944e-05
0.000975 5 4.20464e-05
0.000975 6 2.15623e-05
0.000975 7 1.11298e-05
0.000975 8 5.77504e-06
0.000975 9 3.00974e-06
0.000975 10 1.57462e-06
0.000975 11 8.26833e-07
0.001 1 0.000677748
0.001 2 0.000323862
0.001 3 0.00015989
0.001 4 8.04446e-05
0.001 5 4.09602e-05
0.001 6 2.10306e-05
0.001 7 1.08666e-05
0.001 8 5.64354e-06
0.001 9 2.94352e-06
0.001 10 1.54106e-06
0.001 11 8.09771e-07
0.001025 1 0.000656206
0.001025 2 0.000314339
0.001025 3 0.000155489
0.001025 4 7.83553e-05
0.001025 5 3.995e-05
0.001025 6 2.05354e-05
0.001025 7 1.06212e-05
0.001025 8 5.52081e-06
0.001025 9 2.88167e-06
0.001025 10 1.50968e-06
0.001025 11 7.93747e-07
0.00105 1 0.000636086
0.00105 2 0.000305425
0.00105 3 0.00015136
0.00105 4 7.63914e-05
0.00105 5 3.89987e-05
0.00105 6 2.00683e-05
0.00105 7 1.03894e-05
0.00105 8 5.40472e-06
0.00105 9 2.8231e-06
0.00105 10 1.47996e-06
0.00105 11 7.78575e-07
0.001075 1 0.00061714
0.001075 2 0.000296999
0.001075 3 0.000147447
0.001075 4 7.45255e-05
0.001075 5 3.80931e-05
0.001075 6 1.9623e-05
0.001075 7 1.01681e-05
0.001075 8 5.29376e-06
0.001075 9 2.76705e-06
0.001075 10 1.45146e-06
0.001075 11 7.63999e-07
0.0011 1 0.000599175
0.0011 2 0.000288972
0.0011 3 0.000143707
0.0011 4 7.27376e-05
0.0011 5 3.72238e-05
0.0011 6 1.91949e-05
0.0011 7 9.95503e-06
0.0011 8 5.18684e-06
0.0011 9 2.71301e-06
0.0011 10 1.42401e-06
0.0011 11 7.49974e-07
0.001125 1 0.000582051
0.001125 2 0.00028128
0.001125 3 0.00014011
0.001125 4 7.10144e-05
0.001125 5 3.63844e-05
0.001125 6 1.87809e-05
0.001125 7 9.74887e-06
0.001125 8 5.0833e-06
0.001125 9 2.66071e-06
0.001125 10 1.39752e-06
0.001125 11 7.36489e-07
0.00115 1 0.000565672
0.00115 2 0.000273887
0.00115 3 0.000136641
0.00115 4 6.93479e-05
0.00115 5 3.55712e-05
0.00115 6 1.83794e-05
0.00115 7 9.54873e-06
0.00115 8 4.98272e-06
0.00115 9 2.60981e-06
0.00115 10 1.37161e-06
0.00115 11 7.23215e-07
0.001175 1 0.000549985
0.001175 2 0.000266772
0.001175 3 0.000133291
0.001175 4 6.77349e-05
0.001175 5 3.47829e-05
0.001175 6 1.79898e-05
0.001175 7 9.35431e-06
0.001175 8 4.88495e-06
0.001175 9 2.56031e-06
0.001175 10 1.34639e-06
0.001175 11 7.10292e-07
0.0012 1 0.000534964
0.0012 2 0.000259931
0.0012 3 0.00013006
0.0012 4 6.61755e-05
0.0012 5 3.40195e-05
0.0012 6 1.7612e-05
0.0012 7 9.16568e-06
0.0012 8 4.79005e-06
0.0012 9 2.51223e-06
0.0012 10 1.32189e-06
0.0012 11 6.97735e-07
0.001225 1 0.000520601
0.001225 2 0.000253366
0.001225 3 0.00012695
0.001225 4 6.46715e-05
0.001225 5 3.32821e-05
0.001225 6 1.72466e-05
0.001225 7 8.98308e-06
0.001225 8 4.6981e-06
0.001225 9 2.46563e-06
0.001225 10 1.29813e-06
0.001225 11 6.85555e-07
0.00125 1 0.000506893
0.00125 2 0.000247082
0.00125 3 0.000123966
0.00125 4 6.32256e-05
0.00125 5 3.2572e-05
0.00125 6 1.68944e-05
0.00125 7 8.80688e-06
0.00125 8 4.60935e-06
0.00125 9 2.42065e-06
0.00125 10 1.27519e-06
0.00125 11 6.73795e-07
0.001275 1 0.000493836
0.001275 2 0.000241082
0.001275 3 0.000121111
0.001275 4 6.18398e-05
0.001275 5 3.18905e-05
0.001275 6 1.65559e-05
0.001275 7 8.6374e-06
0.001275 8 4.52388e-06
0.001275 9 2.37733e-06
0.001275 10 1.25326e-06
0.001275 11 6.62714e-07
0.0013 1 0.000481417
0.0013 2 0.000235366
0.0013 3 0.000118386
0.0013 4 6.05154e-05
0.0013 5 3.12383e-05
0.0013 6 1.62316e-05
0.0013 7 8.47489e-06
0.0013 8 4.44189e-06
0.0013 9 2.3357e-06
0.0013 10 1.232e-06
0.0013 11 6.51803e-07
0.001325 1 0.000469614
0.001325 2 0.000229925
0.001325 3 0.00011579
0.001325 4 5.92517e-05
0.001325 5 3.06153e-05
0.001325 6 1.59216e-05
0.001325 7 8.31939e-06
0.001325 8 4.36337e-06
0.001325 9 2.29582e-06
0.001325 10 1.21163e-06
0.001325 11 6.41343e-07
0.00135 1 0.000458393
0.00135 2 0.000224748
0.00135 3 0.000113317
0.00135 4 5.80463e-05
0.00135 5 3.00204e-05
0.00135 6 1.56252e-05
0.00135 7 8.17065e-06
0.00135 8 4.28823e-06
0.00135 9 2.25766e-06
0.00135 10 1.19214e-06
0.00135 11 6.31404e-07
0.001375 1 0.000447716
0.001375 2 0.000219815
0.001375 3 0.000110957
0.001375 4 5.68955e-05
0.001375 5 2.94519e-05
0.001375 6 1.53418e-05
0.001375 7 8.02828e-06
0.001375 8 4.21628e-06
0.001375 9 2.22108e-06
0.001375 10 1.17345e-06
0.001375 11 6.21797e-07
0.0014 1 0.000437538
0.0014 2 0.000215107
0.0014 3 0.000108703
0.0014 4 5.57943e-05
0.0014 5 2.89073e-05
0.0014 6 1.50701e-05
0.0014 7 7.8917e-06
0.0014 8 4.14719e-06
0.0014 9 2.18594e-06
0.0014 10 1.15548e-06
0.0014 11 6.12562e-07
0.001425 1 0.000427816
0.001425 2 0.000210602
0.001425 3 0.000106542
0.001425 4 5.47376e-05
0.001425 5 2.83842e-05
0.001425 6 1.48088e-05
0.001425 7 7.76028e-06
0.001425 8 4.08068e-06
0.001425 9 2.15209e-06
0.001425 10 1.13816e-06
0.001425 11 6.0366e-07
0.00145 1 0.00041851
0.00145 2 0.000206279
0.00145 3 0.000104465
0.00145 4 5.37204e-05
0.00145 5 2.78801e-05
0.00145 6 1.45568e-05
0.00145 7 7.63342e-06
0.00145 8 4.01645e-06
0.00145 9 2.11943e-06
0.00145 10 1.12147e-06
0.00145 11 5.95076e-07
0.001475 1 0.000409583
0.001475 2 0.000202121
0.001475 3 0.000102463
0.001475 4 5.27386e-05
0.001475 5 2.73928e-05
0.001475 6 1.4313e-05
0.001475 7 7.5106e-06
0.001475 8 3.95423e-06
0.001475 9 2.08773e-06
0.001475 10 1.10524e-06
0.001475 11 5.86731e-07
0.0015 1 0.000401005
0.0015 2 0.000198115
0.0015 3 0.00010053
0.0015 4 5.17888e-05
0.0015 5 2.69208e-05
0.0015 6 1.40765e-05
0.0015 7 7.39138e-06
0.0015 8 3.89379e-06
0.0015 9 2.05694e-06
0.0015 10 1.08948e-06
0.0015 11 5.78619e-07
0.001525 1 0.000392753
0.001525 2 0.000194251
0.001525 3 9.86611e-05
0.001525 4 5.08687e-05
0.001525 5 2.64629e-05
0.001525 6 1.38468e-05
0.001525 7 7.27547e-06
0.001525 8 3.835e-06
0.001525 9 2.02701e-06
0.001525 10 1.07417e-06
