Time External Internal Kinetic Smoothing Viscosity
7.99864e-06 0.0597363 0.0155898 0.0118002 0 5.10402e-06
8.16882e-06 0.0604598 0.0155002 0.0122466 0 5.51988e-06
8.33901e-06 0.0611952 0.0154137 0.0126947 0 5.95173e-06
8.50919e-06 0.061942 0.0153307 0.013144 0 6.3996e-06
8.67937e-06 0.0627001 0.0152512 0.0135944 0 6.86356e-06
8.84956e-06 0.0634693 0.0151756 0.0140457 0 7.34368e-06
9.01974e-06 0.0642493 0.015104 0.0144975 0 7.84002e-06
9.18993e-06 0.06504 0.0150365 0.0149498 0 8.35266e-06
9.36011e-06 0.065841 0.0149734 0.0154025 0 8.88163e-06
9.53029e-06 0.0666522 0.0149147 0.0158553 0 9.42695e-06
9.70048e-06 0.0674734 0.0148605 0.0163083 0 9.98862e-06
9.87066e-06 0.0683043 0.0148109 0.0167614 0 1.05666e-05
1.00408e-05 0.0691448 0.0147659 0.0172147 0 1.11608e-05
1.0211e-05 0.0699947 0.0147255 0.0176681 0 1.1771e-05
1.03812e-05 0.0708538 0.0146898 0.0181218 0 1.23971e-05
1.05514e-05 0.0717217 0.0146587 0.0185758 0 1.30387e-05
1.07216e-05 0.0725985 0.0146321 0.0190303 0 1.36957e-05
1.08918e-05 0.0734838 0.01461 0.0194855 0 1.43676e-05
1.10619e-05 0.0743775 0.0145922 0.0199415 0 1.5054e-05
1.12321e-05 0.0752793 0.0145787 0.0203986 0 1.57545e-05
1.14023e-05 0.0761891 0.0145693 0.0208569 0 1.64684e-05
1.15725e-05 0.0771066 0.0145639 0.0213168 0 1.71954e-05
1.17427e-05 0.0780317 0.0145622 0.0217785 0 1.79349e-05
1.19129e-05 0.078964 0.0145643 0.0222423 0 1.86862e-05
1.2083e-05 0.0799035 0.0145698 0.0227085 0 1.94488e-05
1.22532e-05 0.0808499 0.0145786 0.0231772 0 2.02221e-05
1.24234e-05 0.0818029 0.0145905 0.0236489 0 2.10055e-05
1.25936e-05 0.0827625 0.0146053 0.0241238 0 2.17986e-05
1.27638e-05 0.0837282 0.0146229 0.0246021 0 2.26009e-05
1.2934e-05 0.0846999 0.0146431 0.0250842 0 2.34118e-05
1.31042e-05 0.0856774 0.0146657 0.0255703 0 2.4231e-05
1.32743e-05 0.0866605 0.0146906 0.0260606 0 2.50583e-05
1.34445e-05 0.0876489 0.0147175 0.0265553 0 2.58932e-05
1.36147e-05 0.0886423 0.0147464 0.0270548 0 2.67357e-05
1.37849e-05 0.0896406 0.0147771 0.0275591 0 2.75856e-05
1.39551e-05 0.0906434 0.0148095 0.0280685 0 2.8443e-05
1.41253e-05 0.0916507 0.0148435 0.0285831 0 2.93078e-05
1.42954e-05 0.0926621 0.0148789 0.029103 0 3.01802e-05
1.44656e-05 0.0936773 0.0149157 0.0296284 0 3.10605e-05
1.46358e-05 0.0946962 0.0149539 0.0301593 0 3.1949e-05
1.4806e-05 0.0957186 0.0149933 0.0306959 0 3.2846e-05
1.49762e-05 0.0967441 0.0150338 0.0312381 0 3.3752e-05
1.51464e-05 0.0977727 0.0150756 0.0317859 0 3.46676e-05
1.53165e-05 0.098804 0.0151184 0.0323395 0 3.55934e-05
1.54867e-05 0.0998378 0.0151624 0.0328988 0 3.65301e-05
1.56569e-05 0.100874 0.0152075 0.0334637 0 3.74784e-05
1.58271e-05 0.101912 0.0152538 0.0340341 0 3.84392e-05
1.59973e-05 0.102952 0.0153011 0.0346101 0 3.94135e-05
1.61675e-05 0.103994 0.0153496 0.0351914 0 4.0402e-05
1.63376e-05 0.105038 0.0153993 0.0357781 0 4.14059e-05
1.65078e-05 0.106083 0.0154503 0.0363699 0 4.24263e-05
1.6678e-05 0.107129 0.0155025 0.0369667 0 4.34642e-05
1.68482e-05 0.108176 0.0155561 0.0375684 0 4.45209e-05
1.70184e-05 0.109224 0.0156111 0.0381748 0 4.55976e-05
1.71886e-05 0.110273 0.0156675 0.0387858 0 4.66956e-05
1.73587e-05 0.111322 0.0157254 0.0394011 0 4.78162e-05
1.75289e-05 0.112372 0.0157849 0.0400205 0 4.89608e-05
1.76991e-05 0.113423 0.0158461 0.040644 0 5.01308e-05
1.78693e-05 0.114474 0.0159089 0.0412712 0 5.13276e-05
1.80395e-05 0.115525 0.0159735 0.0419021 0 5.25528e-05
1.82097e-05 0.116576 0.0160399 0.0425363 0 5.38078e-05
1.83799e-05 0.117628 0.0161082 0.0431738 0 5.50941e-05
1.855e-05 0.11868 0.0161784 0.0438143 0 5.64132e-05
1.87202e-05 0.119732 0.0162505 0.0444576 0 5.77666e-05
1.88904e-05 0.120784 0.0163247 0.0451035 0 5.91557e-05
1.90606e-05 0.121836 0.016401 0.0457519 0 6.0582e-05
1.92308e-05 0.122889 0.0164793 0.0464027 0 6.20469e-05
1.9401e-05 0.123941 0.0165598 0.0470555 0 6.35516e-05
1.95711e-05 0.124994 0.0166425 0.0477102 0 6.50974e-05
1.97413e-05 0.126048 0.0167275 0.0483667 0 6.66854e-05
1.99115e-05 0.127101 0.0168148 0.0490248 0 6.83167e-05
2.00817e-05 0.128155 0.0169044 0.0496844 0 6.99922e-05
2.02519e-05 0.12921 0.0169964 0.0503451 0 7.17126e-05
2.04221e-05 0.130265 0.0170908 0.051007 0 7.34787e-05
2.05922e-05 0.131322 0.0171878 0.0516697 0 7.52909e-05
2.07624e-05 0.132379 0.0172874 0.0523332 0 7.71496e-05
2.09326e-05 0.133437 0.0173897 0.0529972 0 7.90551e-05
2.11028e-05 0.134496 0.0174947 0.0536616 0 8.10072e-05
2.1273e-05 0.135557 0.0176027 0.0543261 0 8.3006e-05
2.14432e-05 0.136619 0.0177136 0.0549906 0 8.50511e-05
2.16133e-05 0.137683 0.0178277 0.0556549 0 8.71422e-05
2.17835e-05 0.138749 0.017945 0.0563187 0 8.92785e-05
2.19537e-05 0.139817 0.0180657 0.0569818 0 9.14594e-05
2.21239e-05 0.140888 0.01819 0.0576441 0 9.36839e-05
2.22941e-05 0.14196 0.018318 0.0583052 0 9.59512e-05
2.24643e-05 0.143035 0.0184499 0.058965 0 9.82601e-05
2.26344e-05 0.144114 0.0185859 0.0596233 0 0.000100609
2.28046e-05 0.145195 0.018726 0.0602798 0 0.000102998
2.29748e-05 0.146279 0.0188706 0.0609344 0 0.000105424
2.3145e-05 0.147367 0.0190197 0.0615867 0 0.000107886
2.33152e-05 0.148459 0.0191736 0.0622367 0 0.000110383
2.34854e-05 0.149554 0.0193324 0.0628841 0 0.000112914
2.36555e-05 0.150654 0.0194962 0.0635287 0 0.000115476
